Restaurant Name,Rank,Rating,Cuisine,, Price Range ,Number of Reviews,Restaurant Link
Mario's Restaurant,"#1 of 2,469 Restaurants in Boston",4.5,"Italian,Vegetarian Friendly,Gluten Free Options",,$$-$$$ ,200,http://tripadvisor.com/Restaurant_Review-g60745-d323363-Reviews-Mario_s_Restaurant-Boston_Massachusetts.html
Italian Express Pizzeria,"#2 of 2,469 Restaurants in Boston",4.5,"Italian,Pizza,Vegetarian Friendly,Vegan Options",,$$-$$$ ,784,http://tripadvisor.com/Restaurant_Review-g60745-d1954989-Reviews-Italian_Express_Pizzeria-Boston_Massachusetts.html
Ostra,"#3 of 2,469 Restaurants in Boston",4.5,"Seafood,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,945,http://tripadvisor.com/Restaurant_Review-g60745-d5572598-Reviews-Ostra-Boston_Massachusetts.html
Mistral,"#4 of 2,469 Restaurants in Boston",4.5,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,994,http://tripadvisor.com/Restaurant_Review-g60745-d321911-Reviews-Mistral-Boston_Massachusetts.html
SRV Restaurant,"#5 of 2,469 Restaurants in Boston",4.5,"Italian,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,218,http://tripadvisor.com/Restaurant_Review-g60745-d9778587-Reviews-SRV_Restaurant-Boston_Massachusetts.html
Ma Maison,"#6 of 2,469 Restaurants in Boston",4.5,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,169,http://tripadvisor.com/Restaurant_Review-g60745-d8463644-Reviews-Ma_Maison-Boston_Massachusetts.html
Saltie Girl,"#7 of 2,469 Restaurants in Boston",4.5,"American,Seafood,Vegetarian Friendly,Gluten Free Options",,$$-$$$ ,196,http://tripadvisor.com/Restaurant_Review-g60745-d10480393-Reviews-Saltie_Girl-Boston_Massachusetts.html
Delfino Restaurant,"#8 of 2,469 Restaurants in Boston",4.5,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,167,http://tripadvisor.com/Restaurant_Review-g60745-d323395-Reviews-Delfino_Restaurant-Boston_Massachusetts.html
Carlo's Cucina Italiana,"#9 of 2,469 Restaurants in Boston",4.5,"Italian,Vegetarian Friendly,Vegan Options",,$$-$$$ ,197,http://tripadvisor.com/Restaurant_Review-g60745-d323083-Reviews-Carlo_s_Cucina_Italiana-Boston_Massachusetts.html
Barcelona Wine Bar,"#10 of 2,469 Restaurants in Boston",4.5,"Mediterranean,European,Spanish,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,407,http://tripadvisor.com/Restaurant_Review-g60745-d7270210-Reviews-Barcelona_Wine_Bar-Boston_Massachusetts.html
La Summa Cucina Italiana,"#11 of 2,469 Restaurants in Boston",4.5,"Italian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,400,http://tripadvisor.com/Restaurant_Review-g60745-d322999-Reviews-La_Summa_Cucina_Italiana-Boston_Massachusetts.html
North Street Grille,"#12 of 2,469 Restaurants in Boston",4.5,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,369,http://tripadvisor.com/Restaurant_Review-g60745-d321874-Reviews-North_Street_Grille-Boston_Massachusetts.html
The Capital Grille,"#13 of 2,469 Restaurants in Boston",4.5,"American,Steakhouse,Vegetarian Friendly,Gluten Free Options",, $$$$ ,"1,093",http://tripadvisor.com/Restaurant_Review-g60745-d322311-Reviews-The_Capital_Grille-Boston_Massachusetts.html
Davio's,"#14 of 2,469 Restaurants in Boston",4.5,"Italian,American,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,712,http://tripadvisor.com/Restaurant_Review-g60745-d321978-Reviews-Davio_s-Boston_Massachusetts.html
Mamma Maria,"#15 of 2,469 Restaurants in Boston",4.5,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,"1,125",http://tripadvisor.com/Restaurant_Review-g60745-d322986-Reviews-Mamma_Maria-Boston_Massachusetts.html
The Q Restaurant,"#16 of 2,469 Restaurants in Boston",4.5,"Chinese,Sushi,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,402,http://tripadvisor.com/Restaurant_Review-g60745-d2285799-Reviews-The_Q_Restaurant-Boston_Massachusetts.html
Rino's Place,"#17 of 2,469 Restaurants in Boston",4.5,"Italian,Asian,Vegetarian Friendly,Vegan Options",,$$-$$$ ,572,http://tripadvisor.com/Restaurant_Review-g60745-d323225-Reviews-Rino_s_Place-Boston_Massachusetts.html
O Ya,"#18 of 2,469 Restaurants in Boston",4.5,"Japanese,Sushi,Asian",, $$$$ ,298,http://tripadvisor.com/Restaurant_Review-g60745-d802390-Reviews-O_Ya-Boston_Massachusetts.html
Bostonia Public House,"#19 of 2,469 Restaurants in Boston",4.5,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,932,http://tripadvisor.com/Restaurant_Review-g60745-d6641547-Reviews-Bostonia_Public_House-Boston_Massachusetts.html
Regina Pizzeria,"#20 of 2,469 Restaurants in Boston",4.5,"Italian,Pizza,Vegetarian Friendly,Vegan Options",, $,"2,575",http://tripadvisor.com/Restaurant_Review-g60745-d322981-Reviews-Regina_Pizzeria-Boston_Massachusetts.html
Picco Restaurant,"#21 of 2,469 Restaurants in Boston",4.5,"Italian,Pizza,Gluten Free Options,Vegetarian Friendly,Vegan Options",,$$-$$$ ,296,http://tripadvisor.com/Restaurant_Review-g60745-d537940-Reviews-Picco_Restaurant-Boston_Massachusetts.html
Coppa,"#22 of 2,469 Restaurants in Boston",4.5,"Italian,Pizza,Vegetarian Friendly,Vegan Options",,$$-$$$ ,340,http://tripadvisor.com/Restaurant_Review-g60745-d1600893-Reviews-Coppa-Boston_Massachusetts.html
Parish Cafe,"#23 of 2,469 Restaurants in Boston",4.5,"American,Cafe,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,864,http://tripadvisor.com/Restaurant_Review-g60745-d321924-Reviews-Parish_Cafe-Boston_Massachusetts.html
Atlantic Fish Company,"#24 of 2,469 Restaurants in Boston",4.5,"American,Seafood,Vegetarian Friendly,Gluten Free Options",, $$$$ ,"4,441",http://tripadvisor.com/Restaurant_Review-g60745-d321906-Reviews-Atlantic_Fish_Company-Boston_Massachusetts.html
Sorellina,"#25 of 2,469 Restaurants in Boston",4.5,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,758,http://tripadvisor.com/Restaurant_Review-g60745-d605870-Reviews-Sorellina-Boston_Massachusetts.html
Mike's City Diner,"#26 of 2,469 Restaurants in Boston",4.5,"American,Deli,Vegetarian Friendly",, $,296,http://tripadvisor.com/Restaurant_Review-g60745-d322312-Reviews-Mike_s_City_Diner-Boston_Massachusetts.html
Ocean Prime,"#27 of 2,469 Restaurants in Boston",4.5,"American,Steakhouse,Seafood,Sushi,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,419,http://tripadvisor.com/Restaurant_Review-g60745-d8534897-Reviews-Ocean_Prime-Boston_Massachusetts.html
Theo's Cozy Corner Restaurant,"#28 of 2,469 Restaurants in Boston",4.5,"American,Cafe,Vegetarian Friendly",, $,283,http://tripadvisor.com/Restaurant_Review-g60745-d323014-Reviews-Theo_s_Cozy_Corner_Restaurant-Boston_Massachusetts.html
Brewer's Fork,"#29 of 2,469 Restaurants in Boston",4.5,"Pizza,American,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,151,http://tripadvisor.com/Restaurant_Review-g60745-d7799157-Reviews-Brewer_s_Fork-Boston_Massachusetts.html
B & G Oysters,"#30 of 2,469 Restaurants in Boston",4.5,"American,Seafood,Gluten Free Options",,$$-$$$ ,672,http://tripadvisor.com/Restaurant_Review-g60745-d321987-Reviews-B_G_Oysters-Boston_Massachusetts.html
Piccola Cucina Osteria,"#1 of 10,381 Restaurants in New York City",4.5,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,"2,004",http://tripadvisor.com/Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html
SottoCasa Pizzeria,"#2 of 10,381 Restaurants in New York City",5,"Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,324,http://tripadvisor.com/Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html
Club A Steakhouse,"#3 of 10,381 Restaurants in New York City",4.5,"American,Steakhouse,Gluten Free Options",, $$$$ ,"3,500",http://tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html
Boucherie Union Square,"#4 of 10,381 Restaurants in New York City",5,"French,Steakhouse,Gluten Free Options",, $$$$ ,640,http://tripadvisor.com/Restaurant_Review-g60763-d13504265-Reviews-Boucherie_Union_Square-New_York_City_New_York.html
Piccola Cucina,"#5 of 10,381 Restaurants in New York City",4.5,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,702,http://tripadvisor.com/Restaurant_Review-g60763-d1731141-Reviews-Piccola_Cucina-New_York_City_New_York.html
Boucherie West Village,"#6 of 10,381 Restaurants in New York City",4.5,"French,Steakhouse,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,708,http://tripadvisor.com/Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html
Loi Estiatorio,"#7 of 10,381 Restaurants in New York City",4.5,"Mediterranean,Greek,Seafood,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,335,http://tripadvisor.com/Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html
Petite Boucherie,"#8 of 10,381 Restaurants in New York City",4.5,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,419,http://tripadvisor.com/Restaurant_Review-g60763-d10145683-Reviews-Petite_Boucherie-New_York_City_New_York.html
Song E Napule,"#9 of 10,381 Restaurants in New York City",4.5,"Italian,Pizza,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,258,http://tripadvisor.com/Restaurant_Review-g60763-d8319600-Reviews-Song_E_Napule-New_York_City_New_York.html
Daniel,"#10 of 10,381 Restaurants in New York City",4.5,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,"3,143",http://tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html
Los Tacos No. 1,"#11 of 10,381 Restaurants in New York City",4.5,"Mexican,Latin,Fast food,Vegetarian Friendly,Gluten Free Options",, $,208,http://tripadvisor.com/Restaurant_Review-g60763-d12874338-Reviews-Los_Tacos_No_1-New_York_City_New_York.html
Olio e Piu,"#12 of 10,381 Restaurants in New York City",4.5,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,"1,690",http://tripadvisor.com/Restaurant_Review-g60763-d1878682-Reviews-Olio_e_Piu-New_York_City_New_York.html
Spice Symphony,"#13 of 10,381 Restaurants in New York City",4.5,"Indian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,"2,185",http://tripadvisor.com/Restaurant_Review-g60763-d3603515-Reviews-Spice_Symphony-New_York_City_New_York.html
Sottocasa Pizzeria,"#2 of 5,327 Restaurants in Brooklyn",4.5,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,276,http://tripadvisor.com/Restaurant_Review-g60827-d3437996-Reviews-Sottocasa_Pizzeria-Brooklyn_New_York.html
Spice Symphony 31st,"#14 of 10,381 Restaurants in New York City",4.5,"Indian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,123,http://tripadvisor.com/Restaurant_Review-g60763-d12383830-Reviews-Spice_Symphony_31st-New_York_City_New_York.html
Le Bernardin,"#15 of 10,381 Restaurants in New York City",4.5,"French,Gluten Free Options,Vegetarian Friendly",, $$$$ ,"3,270",http://tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html
San Carlo Osteria Piemonte,"#16 of 10,381 Restaurants in New York City",4.5,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,537,http://tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html
Decoy Bar,"#17 of 10,381 Restaurants in New York City",4.5,"Chinese,Asian,Gluten Free Options",,$$-$$$ ,166,http://tripadvisor.com/Restaurant_Review-g60763-d6654379-Reviews-Decoy_Bar-New_York_City_New_York.html
Royal 35 Steakhouse,"#18 of 10,381 Restaurants in New York City",4.5,"American,Steakhouse,Gluten Free Options",, $$$$ ,360,http://tripadvisor.com/Restaurant_Review-g60763-d12015308-Reviews-Royal_35_Steakhouse-New_York_City_New_York.html
Pure Thai Cookhouse,"#19 of 10,381 Restaurants in New York City",4.5,"Asian,Thai,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,"1,318",http://tripadvisor.com/Restaurant_Review-g60763-d2099173-Reviews-Pure_Thai_Cookhouse-New_York_City_New_York.html
Jungsik,"#20 of 10,381 Restaurants in New York City",4.5,"Asian,Korean,Gluten Free Options",, $$$$ ,254,http://tripadvisor.com/Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html
Murray's Cheese,"#21 of 10,381 Restaurants in New York City",4.5,"Deli,Vegetarian Friendly",,$$-$$$ ,238,http://tripadvisor.com/Restaurant_Review-g60763-d4101382-Reviews-Murray_s_Cheese-New_York_City_New_York.html
K Rico Steakhouse,"#22 of 10,381 Restaurants in New York City",4.5,"American,Steakhouse,Latin,South American,Gluten Free Options",,$$-$$$ ,"2,664",http://tripadvisor.com/Restaurant_Review-g60763-d7617787-Reviews-K_Rico_Steakhouse-New_York_City_New_York.html
Per Se,"#23 of 10,381 Restaurants in New York City",4.5,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,"1,741",http://tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html
B Side Pizzeria,"#24 of 10,381 Restaurants in New York City",4.5,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,368,http://tripadvisor.com/Restaurant_Review-g60763-d7078660-Reviews-B_Side_Pizzeria-New_York_City_New_York.html
Eileen's Special Cheesecake,"#25 of 10,381 Restaurants in New York City",4.5,"American,Vegetarian Friendly",, $,"1,920",http://tripadvisor.com/Restaurant_Review-g60763-d808386-Reviews-Eileen_s_Special_Cheesecake-New_York_City_New_York.html
Broadway Bagel,"#26 of 10,381 Restaurants in New York City",4.5,"American,Cafe,Vegetarian Friendly,Vegan Options",, $,209,http://tripadvisor.com/Restaurant_Review-g60763-d3948791-Reviews-Broadway_Bagel-New_York_City_New_York.html
Juliana's Pizza,"#4 of 5,327 Restaurants in Brooklyn",4.5,Pizza,,$$-$$$ ,"2,847",http://tripadvisor.com/Restaurant_Review-g60827-d3741802-Reviews-Juliana_s_Pizza-Brooklyn_New_York.html
The Modern,"#27 of 10,381 Restaurants in New York City",4.5,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",, $$$$ ,"1,954",http://tripadvisor.com/Restaurant_Review-g60763-d549201-Reviews-The_Modern-New_York_City_New_York.html
Tree Bistro,"#28 of 10,381 Restaurants in New York City",4.5,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",,$$-$$$ ,326,http://tripadvisor.com/Restaurant_Review-g60763-d808894-Reviews-Tree_Bistro-New_York_City_New_York.html
